time,open,high,low,close
2025-08-26 18:45:00-03:00,1.338535,1.338795,1.335705,1.336115
2025-08-26 18:50:00-03:00,1.336075,1.337745,1.333475,1.337745
2025-08-26 18:55:00-03:00,1.337805,1.340555,1.337315,1.339505
2025-08-26 19:00:00-03:00,1.339565,1.340195,1.338365,1.338615
2025-08-26 19:05:00-03:00,1.338725,1.338875,1.335755,1.336725
2025-08-26 19:10:00-03:00,1.336655,1.339655,1.336145,1.339655
2025-08-26 19:15:00-03:00,1.339595,1.339775,1.337045,1.339775
2025-08-26 19:20:00-03:00,1.339665,1.340525,1.338115,1.339645
2025-08-26 19:25:00-03:00,1.339615,1.340675,1.338195,1.340385
2025-08-26 19:30:00-03:00,1.340185,1.341585,1.337885,1.340115
2025-08-26 19:35:00-03:00,1.339925,1.342995,1.339925,1.341065
2025-08-26 19:40:00-03:00,1.341245,1.343995,1.341045,1.342455
2025-08-26 19:45:00-03:00,1.342455,1.343855,1.341725,1.342225
2025-08-26 19:50:00-03:00,1.342245,1.345905,1.342195,1.344665
2025-08-26 19:55:00-03:00,1.344745,1.344925,1.339265,1.342665
2025-08-26 20:00:00-03:00,1.342625,1.343245,1.340655,1.341895
2025-08-26 20:05:00-03:00,1.341845,1.346625,1.341775,1.346625
2025-08-26 20:10:00-03:00,1.346575,1.348995,1.346555,1.347795
2025-08-26 20:15:00-03:00,1.347745,1.348375,1.346095,1.347585
2025-08-26 20:20:00-03:00,1.347075,1.350155,1.346235,1.348515
2025-08-26 20:25:00-03:00,1.348395,1.352815,1.348395,1.350855
2025-08-26 20:30:00-03:00,1.350785,1.350975,1.348385,1.348475
2025-08-26 20:35:00-03:00,1.348365,1.349485,1.347545,1.348935
2025-08-26 20:40:00-03:00,1.348975,1.352705,1.348585,1.351965
2025-08-26 20:45:00-03:00,1.352135,1.352275,1.346785,1.346915
2025-08-26 20:50:00-03:00,1.346975,1.348625,1.346135,1.348155
2025-08-26 20:55:00-03:00,1.348215,1.349415,1.347275,1.347785
2025-08-26 21:00:00-03:00,1.347885,1.349235,1.346665,1.349225
2025-08-26 21:05:00-03:00,1.349025,1.350155,1.347215,1.349455
2025-08-26 21:10:00-03:00,1.349545,1.350535,1.348255,1.348555
2025-08-26 21:15:00-03:00,1.348595,1.349515,1.346755,1.347785
2025-08-26 21:20:00-03:00,1.347865,1.349105,1.346945,1.348135
2025-08-26 21:25:00-03:00,1.347905,1.353345,1.347735,1.353055
2025-08-26 21:30:00-03:00,1.353085,1.353815,1.350655,1.352285
2025-08-26 21:35:00-03:00,1.352335,1.353845,1.351375,1.352555
2025-08-26 21:40:00-03:00,1.352555,1.353345,1.351375,1.353345
2025-08-26 21:45:00-03:00,1.353345,1.353595,1.350595,1.350675
2025-08-26 21:50:00-03:00,1.350675,1.351165,1.348465,1.349385
2025-08-26 21:55:00-03:00,1.349465,1.353575,1.349185,1.353045
2025-08-26 22:00:00-03:00,1.353035,1.355335,1.351415,1.351465
2025-08-26 22:05:00-03:00,1.351465,1.352375,1.348285,1.350025
2025-08-26 22:10:00-03:00,1.350115,1.353115,1.349665,1.352735
2025-08-26 22:15:00-03:00,1.352735,1.354725,1.352725,1.353305
2025-08-26 22:20:00-03:00,1.353305,1.355005,1.351885,1.354185
2025-08-26 22:25:00-03:00,1.354185,1.355265,1.353655,1.354985
2025-08-26 22:30:00-03:00,1.354805,1.354915,1.350005,1.352105
2025-08-26 22:35:00-03:00,1.351985,1.353075,1.349505,1.350235
2025-08-26 22:40:00-03:00,1.350275,1.352345,1.349425,1.352335
2025-08-26 22:45:00-03:00,1.352325,1.352325,1.349855,1.350405
2025-08-26 22:50:00-03:00,1.350415,1.350615,1.348615,1.349755
